160,193,100
48,178,15
128,178,132
168,93,21
155,139,175
172,22,175
25,170,130
134,187,142
170,142,166
21,195,141
160,100,142
25,26,107
25,178,131
50,139,154
169,170,188
1,107,135
130,142,14
130,188,141
176,141,142
194,12,76
169,93,14
160,171,76
160,173,151
188,76,133
176,107,132
25,139,141
134,139,198
18,107,21
48,169,180
194,131,22
136,132,135
25,18,180
177,18,134
178,180,132
186,107,100
178,155,151
129,146,132
130,2,93
184,2,123
169,14,151
1,98,2
131,140,93
176,130,93
188,93,142
25,146,142
25,107,15
146,155,22
164,20,135
169,25,135
25,154,140
169,2,142
48,164,148
129,166,15
139,142,135
128,169,98
48,195,100
194,139,141
136,140,188
129,171,132
146,108,141
178,154,164
18,142,138
1,186,76
128,169,25
146,108,151
128,164,20
129,164,21
26,93,151
134,93,166
129,12,135
169,154,188
128,156,12
169,196,93
130,166,22
98,50,167
177,2,76
186,14,151
128,156,124
155,12,134
171,124,134
169,132,134
178,195,166
2,123,132
107,76,139
100,188,14
128,164,151
176,186,130
128,22,15
146,108,21
128,178,188
180,131,132
169,132,21
129,194,22
160,98,176
169,177,175
140,131,164
160,170,138
176,134,151
146,139,22
156,124,157
146,139,148
164,100,14
130,142,167
156,141,151
178,142,14
146,21,175
130,107,190
107,21,166
140,180,135
160,177,170
132,154,124
160,93,15
160,139,76
19,180,131
178,193,146
160,169,123
169,130,132
184,167,151
154,188,151
161,148,141
155,131,139
187,100,15
168,146,151
188,76,22
146,131,148
136,129,131
26,132,167
178,130,26
130,107,131
154,131,142
177,131,180
132,169,140
136,164,135
146,123,131
146,180,132
26,124,133
177,123,132
128,176,15
177,134,22
107,132,93
184,146,132
131,148,151
48,140,20
176,129,169
168,169,194
176,129,194
128,146,180
169,154,132
136,2,138
160,20,151
25,139,151
2,76,21
168,18,141
193,190,14
130,19,135
161,12,14
164,134,15
184,154,21
25,138,142
128,141,14
177,138,139
48,195,12
146,14,154
48,131,76
194,131,93
128,26,107
108,50,20
128,178,131
178,19,93
129,186,139
